Track 01_x,Track 01_y,Track 01_z,Track 02_x,Track 02_y,Track 02_z,Track 03_x,Track 03_y,Track 03_z,Track 04_x,Track 04_y,Track 04_z,Track 05_x,Track 05_y,Track 05_z,Track 06_x,Track 06_y,Track 06_z,Track 07_x,Track 07_y,Track 07_z,Track 08_x,Track 08_y,Track 08_z,Track 09_x,Track 09_y,Track 09_z,Track 10_x,Track 10_y,Track 10_z
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.882741299,0.441621142,0.923649929,-0.85143833,0.425450131,0.916681669,-0.975201229,0.485228692,0.912186403,-1.036026229,0.408318362,0.978464996,-1.073328863,0.458816662,0.840648508,-1.064230334,0.523259537,0.779251993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.831503272,0.439695996,0.926436103,-0.800176109,0.396967879,0.91938069,-0.925510926,0.469520186,0.914843579,-0.989219237,0.46496011,0.978241341,-1.019003565,0.464435779,0.839744318,-1.014740398,0.508509235,0.777418693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.781596326,0.4246354,0.929108191,-0.746064896,0.421552716,0.919537419,-0.873699013,0.46542349,0.915249731,-0.939489087,0.473155323,0.978091627,-0.968164273,0.461723206,0.838053528,-0.964294553,0.483839404,0.777799163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.734272274,0.435925996,0.928848981,-0.701556124,0.433447525,0.922003645,-0.82937695,0.477918358,0.917707415,-0.897041985,0.435941535,0.974583318,-0.920848892,0.450361455,0.836126799,-0.915366792,0.504978622,0.779493994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.6869938,0.421377036,0.93137816,-0.658255913,0.431733204,0.921484058,-0.783674532,0.458330075,0.917728319,-0.850789414,0.465980362,0.980033628,-0.879996526,0.434519536,0.838278517,-0.867048088,0.504277742,0.778794768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.646348172,0.394188181,0.933505123,-0.613569145,0.392053227,0.926657342,-0.74211128,0.443175772,0.919140246,-0.800900312,0.421350838,0.976911955,-0.837812648,0.425375585,0.838865162,-0.828749886,0.468977429,0.780666196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.603090962,0.393325522,0.935858658,-0.572692178,0.364907078,0.925915012,-0.700971746,0.438680412,0.920565114,-0.757820785,0.41888887,0.979251369,-0.795104336,0.417305135,0.841713815,-0.786414759,0.474353873,0.785797809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.563339163,0.352805162,0.932138313,-0.537388817,0.36397206,0.924958086,-0.662338057,0.423151452,0.920211045,-0.713351552,0.428724697,0.978818079,-0.757239833,0.396272708,0.842003556,-0.750349735,0.462897656,0.78769828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.525311588,0.351919704,0.931329075,-0.492524129,0.350977651,0.922653367,-0.624250222,0.401797624,0.919805136,-0.666775188,0.381143891,0.984126233,-0.721247867,0.382134251,0.841667207,-0.715231329,0.43561979,0.787777097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.491251643,0.362986285,0.924591511,-0.458396562,0.337311501,0.922455094,-0.590565511,0.397957683,0.920824829,-0.629236648,0.347756407,0.983220155,-0.685716946,0.384641712,0.841947885,-0.683752159,0.39270063,0.788113583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.454774879,0.350866363,0.932290413,-0.427475614,0.350666191,0.923519628,-0.557158349,0.391203983,0.921818654,NaN,NaN,NaN,-0.652850238,0.382435138,0.843731337,-0.654033314,0.367657579,0.786792254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.424746223,0.349727896,0.928167376,-0.393205544,0.336768319,0.920650306,-0.527980231,0.410782214,0.921874502,NaN,NaN,NaN,-0.621671955,0.373048961,0.844270422,-0.622705663,0.353358253,0.785625301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.394830131,0.349111033,0.926917618,-0.361947444,0.325418995,0.919632642,-0.497031357,0.393176191,0.921090321,NaN,NaN,NaN,-0.593588378,0.358084349,0.843495586,-0.594661112,0.369357646,0.783359008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.365955963,0.335451888,0.922684773,-0.333131629,0.312758843,0.91512737,-0.470530125,0.382375812,0.916877105,NaN,NaN,NaN,-0.566568593,0.347608176,0.841569404,-0.57011745,0.343867392,0.780630102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.339649121,0.321441282,0.915428737,-0.307191981,0.280492783,0.907701801,-0.44376281,0.374761454,0.913491239,-0.489702723,0.327399594,0.982129233,-0.541947047,0.342605926,0.835635219,-0.544752241,0.35947639,0.778216976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.313434322,0.308016695,0.911045063,-0.2846035,0.296292173,0.902970368,-0.423495738,0.369372865,0.908153292,-0.463020491,0.346430196,0.974992121,-0.520400272,0.331895944,0.827826288,-0.525040375,0.330307852,0.771288225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.292624332,0.294663156,0.906364301,-0.26318639,0.299631945,0.898794251,-0.40267374,0.369905387,0.90286941,-0.442361862,0.304833595,0.97313051,-0.500902602,0.311570772,0.821520084,-0.50374833,0.334714875,0.765788381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.273385856,0.293866271,0.901649095,-0.2441552,0.301205606,0.889123592,-0.384625024,0.372684256,0.896641463,-0.425040425,0.281773663,0.965368236,-0.483198912,0.298243121,0.812359966,-0.485449222,0.318329794,0.759419468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.256860843,0.29306137,0.896786367,-0.231062529,0.305312982,0.887847979,-0.369071537,0.355167153,0.887779357,-0.410940539,0.253063841,0.957405821,-0.469276321,0.296904111,0.80641256,-0.471476538,0.316263754,0.751239549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.24316847,0.29271529,0.894651303,-0.213246608,0.315830781,0.880165815,-0.357038585,0.350546005,0.881991375,-0.401992563,0.256493174,0.949253666,-0.456317499,0.290907374,0.800383002,-0.45857835,0.322512234,0.748085487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.228735789,0.266592221,0.886675044,-0.203252485,0.282040684,0.873846984,-0.344566829,0.342433037,0.876209234,-0.395606175,0.259858967,0.938080794,-0.448278228,0.294447177,0.794702983,-0.449954598,0.318527431,0.747411762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.218494599,0.252415724,0.875636677,-0.192564433,0.284523559,0.867743833,-0.333363751,0.334982304,0.867146391,-0.390700805,0.28589653,0.929062255,-0.438629658,0.277522344,0.791770023,-0.443431257,0.310549418,0.739895128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.212819403,0.251557004,0.870176764,-0.183289163,0.277292488,0.860172879,-0.325406125,0.33338738,0.85793422,-0.379645638,0.261387926,0.918956754,-0.434959391,0.267084067,0.784081346,-0.439434027,0.300371623,0.736128362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.208125568,0.237784288,0.861712626,-0.17639399,0.247550628,0.848322965,-0.320809317,0.303189527,0.848382702,-0.371237584,0.269015317,0.911722174,-0.431230356,0.268855054,0.777034574,-0.434131835,0.325265198,0.730472964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.202046037,0.212552235,0.859026513,-0.170173308,0.242647498,0.84260092,-0.317750515,0.284411038,0.844427494,-0.359673822,0.261545237,0.904599436,-0.429049357,0.244768128,0.773076457,-0.434602919,0.306990679,0.72695453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.203308705,0.223539872,0.850363517,-0.171799864,0.214316025,0.838324245,-0.3181814,0.268380073,0.839489442,-0.349824647,0.256938021,0.90028986,-0.429088683,0.238699933,0.773032282,-0.435913122,0.295930364,0.72232844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.202209194,0.235984819,0.85049226,-0.169376998,0.217342866,0.833778302,-0.318240832,0.249084728,0.836159025,-0.339444937,0.237611467,0.894977989,-0.430075197,0.234107585,0.773505496,-0.440049543,0.307918171,0.722197918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.197508357,0.222231815,0.842020011,-0.165813256,0.211755141,0.829243594,-0.316903169,0.253975164,0.833846334,NaN,NaN,NaN,-0.429959959,0.232377822,0.777972843,-0.445359799,0.307027638,0.721341501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.195765554,0.209360083,0.839156575,-0.16532117,0.208440079,0.826566555,-0.316370085,0.259841199,0.833909163,NaN,NaN,NaN,-0.431004403,0.215535742,0.777800909,-0.442024316,0.256397354,0.717764826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.192396902,0.184068818,0.836307983,-0.163631372,0.196290552,0.822558336,-0.317137507,0.250904813,0.833011205,NaN,NaN,NaN,-0.434166667,0.228816378,0.781073294,-0.445583408,0.24053826,0.716882259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.191751842,0.158666542,0.833306818,-0.161588463,0.202194222,0.818008909,-0.317262722,0.231850396,0.831284587,NaN,NaN,NaN,-0.436896944,0.200246272,0.781850251,-0.446632756,0.226993959,0.712800512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.193138432,0.170145771,0.827523509,-0.159403802,0.186734417,0.811318617,-0.316214179,0.218348214,0.831263611,NaN,NaN,NaN,-0.435351992,0.174914095,0.77784592,-0.446138096,0.22364465,0.707766988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.192899358,0.169195638,0.821755555,-0.157655131,0.174357539,0.805963246,-0.316683498,0.212186537,0.829591537,-0.355370553,0.174142427,0.895764787,-0.436340008,0.158953244,0.768723345,-0.446512942,0.204700351,0.701435276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.192015877,0.142817373,0.812973852,-0.158107791,0.137151259,0.800991704,-0.315311529,0.216963916,0.82647341,-0.355006306,0.17052758,0.899638046,-0.438650105,0.173699595,0.759183433,-0.448739241,0.175889784,0.692673019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.194625071,0.142249149,0.809938538,-0.159467133,0.127099385,0.79816216,-0.316590435,0.20776003,0.820711564,-0.356583096,0.151531513,0.89656788,-0.440705573,0.173551923,0.748433115,-0.449101844,0.173629178,0.685915582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.19398465,0.11675537,0.80691961,-0.16091085,0.117372063,0.797345812,-0.317725533,0.176550083,0.817237885,-0.361482076,0.105616731,0.892227225,-0.441387674,0.186475021,0.744574287,-0.451019931,0.170371345,0.686341661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.196715867,0.116658112,0.806769727,-0.161947655,0.104623661,0.795858912,-0.319446623,0.180688288,0.813945523,-0.365250615,0.082619418,0.889012591,-0.444476496,0.180628399,0.742681915,-0.454076006,0.131421187,0.684712387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.198459847,0.129604048,0.809647982,-0.16200344,0.104846455,0.797202148,-0.32146409,0.166332311,0.812940817,-0.36757328,0.057851156,0.889744549,-0.4459408,0.172951288,0.746462589,-0.454693091,0.109918143,0.68785343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.201665283,0.091368362,0.806335811,-0.16563232,0.090999915,0.794892994,-0.323418611,0.151684441,0.81032424,-0.371410805,0.024154651,0.886473823,-0.449574427,0.159282521,0.741121542,-0.459837295,0.127938622,0.68716781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.203048269,0.102917635,0.800551131,-0.168111918,0.089468266,0.791383451,-0.327437231,0.128563014,0.803506466,-0.374628494,0.007214253,0.88330977,-0.4537964,0.149331146,0.743055376,-0.466220858,0.109255916,0.693942835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.209746202,0.090568239,0.802996228,-0.168335986,0.070664385,0.788551279,-0.331016901,0.127503813,0.797656356,-0.369648254,-0.011262432,0.878641052,-0.459791965,0.121472782,0.74644064,-0.473122891,0.10163183,0.700227564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.210621683,0.076977479,0.797072798,-0.170831818,0.048042611,0.786239262,-0.334496934,0.120182951,0.793383864,-0.365374615,-0.011654831,0.867219306,-0.466095871,0.122807553,0.747786803,-0.482281423,0.101053478,0.701963437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.212241446,0.089498225,0.797067411,-0.172001324,0.099073407,0.785183094,-0.337944865,0.106855524,0.792300282,-0.364932974,-0.015644535,0.869166103,-0.473912944,0.124218928,0.747929579,-0.488689212,0.110514821,0.700009512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.213978892,0.102493988,0.79995052,-0.17857088,0.065707733,0.781899693,-0.338587583,0.107158105,0.790652879,NaN,NaN,NaN,-0.472992266,0.09601881,0.750014622,-0.489246494,0.116738136,0.692183683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.213237905,0.076378369,0.794032237,-0.178375085,0.064933707,0.7771935,-0.34037408,0.105721351,0.79296725,NaN,NaN,NaN,-0.473529973,0.081664496,0.744831215,-0.48782989,0.099100271,0.684259489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.212998709,0.075421015,0.788251668,-0.173730582,0.029736001,0.775176951,-0.339295506,0.101863337,0.794615265,NaN,NaN,NaN,-0.470952036,0.039871159,0.741853513,-0.486168693,0.091973439,0.68036236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.217230704,0.087369389,0.785208897,-0.171106113,0.030734239,0.775327716,-0.340852874,0.093604512,0.79528352,NaN,NaN,NaN,-0.468730798,0.021390588,0.737342913,-0.485623119,0.094763125,0.675369779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.213877105,0.061802381,0.782321702,-0.168848469,0.055736508,0.774283572,-0.340656372,0.086918934,0.794443032,NaN,NaN,NaN,-0.458669975,0.041422744,0.733554794,-0.482129472,0.072082728,0.669186843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.21075958,0.037163972,0.785217097,-0.168694869,0.033975392,0.771441769,-0.340197987,0.067381744,0.795148071,-0.376663421,0.058827709,0.873739011,-0.45868063,0.028651044,0.731209495,-0.479069594,0.060260719,0.660829248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.210639754,0.036685682,0.782324353,-0.167736695,0.0273889,0.766731413,-0.339759721,0.058768284,0.793918262,-0.379326011,0.059077343,0.872625237,-0.459960474,0.048164906,0.720625254,-0.476061528,0.042237997,0.652406154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.210520199,0.036204281,0.779431514,-0.170361893,0.02638301,0.766580308,-0.338412956,0.047243199,0.797034408,-0.377340934,0.044366353,0.861993327,-0.460720065,0.036013986,0.713748571,-0.473086586,0.030799106,0.646284297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.208900441,0.023632759,0.779431956,-0.169745853,0.001323821,0.761712416,-0.337231243,0.028132688,0.79073643,-0.382365756,0.030625514,0.86359009,-0.463467,0.034859923,0.70404299,-0.472795798,0.029537639,0.638987634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.211640116,0.023499324,0.779281127,-0.169271247,-0.023224859,0.760207192,-0.336744318,0.00943987,0.784398043,-0.385531819,0.002567289,0.857451993,-0.463667011,0.017724463,0.697710149,-0.473665741,0.024228042,0.636080009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.212521537,0.00982247,0.773341602,-0.168918186,-0.026030049,0.76088005,-0.336795195,0.000510405,0.777312472,-0.397709331,0.016323786,0.852005144,-0.463605299,-0.008280046,0.690748961,-0.47604533,0.025377961,0.633152398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.210661684,-0.003723194,0.767549666,-0.169940627,-0.039063688,0.758703167,-0.338448092,-0.000821819,0.771750484,-0.405506437,0.081477875,0.85385853,-0.465982001,-0.020071228,0.684895436,-0.482759607,0.023159549,0.635570145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.213403912,-0.003867383,0.767398508,-0.170612298,-0.054930437,0.757198056,-0.339159448,-0.020351772,0.765719613,-0.398917019,0.038760391,0.84526592,-0.472082795,-0.014676186,0.689104803,-0.487265765,0.001098175,0.640726249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.217763901,0.008591399,0.767250317,-0.172511302,-0.06170476,0.757717905,-0.342074183,-0.027230653,0.760435921,-0.394870157,0.028389937,0.837668495,-0.47814633,-0.015887835,0.691010364,-0.496961687,0.018153358,0.64372898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.21827794,-0.030018583,0.764041588,-0.175820387,-0.100115698,0.756572916,-0.344503499,-0.02780913,0.756785224,-0.391977875,0.005448118,0.829933066,-0.48200737,-0.029147513,0.690122395,-0.50406405,0.025386119,0.650148285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.219895245,-0.017396971,0.764045487,-0.175087814,-0.084406065,0.756731209,-0.347354441,-0.040859964,0.753409393,NaN,NaN,NaN,-0.485765025,-0.057211794,0.690800209,-0.504760608,-0.008072118,0.643611386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.218157846,-0.030496115,0.761144769,-0.174947842,-0.084966833,0.753358377,-0.347874008,-0.036121727,0.750682678,NaN,NaN,NaN,-0.491168964,-0.063957207,0.690446102,-0.507920826,-0.025778786,0.63202275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.215690145,-0.070033092,0.752279864,-0.176571783,-0.114376472,0.747640743,-0.349300959,-0.034241962,0.746323677,NaN,NaN,NaN,-0.493934262,-0.059882358,0.68976663,-0.508801892,-0.063903258,0.62090804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.220543977,-0.032101437,0.75230121,-0.17757345,-0.106134641,0.744271901,-0.351440753,-0.042784133,0.744189392,NaN,NaN,NaN,-0.496059587,-0.054643941,0.689132546,-0.5120939,-0.061476266,0.617375277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.219936685,-0.058034071,0.749236156,-0.176700541,-0.11245338,0.74156784,-0.35285317,-0.057818273,0.7447793,NaN,NaN,NaN,-0.495680187,-0.05758099,0.686877469,-0.516379541,-0.057351227,0.615493542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.221068127,-0.070866283,0.74907621,-0.178141453,-0.122555631,0.740058096,-0.353841685,-0.060352796,0.745096592,NaN,NaN,NaN,-0.49547362,-0.066314947,0.687376009,-0.517788572,-0.070987437,0.607960829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.223214498,-0.097051811,0.745854324,-0.180780935,-0.12363188,0.739905125,-0.353930982,-0.08106892,0.74571659,-0.404779094,-0.111978869,0.831482664,-0.497676333,-0.073829035,0.685501726,-0.52072698,-0.092509705,0.604762003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.224349925,-0.109929733,0.745693004,-0.183420127,-0.12470703,0.739752011,-0.353934796,-0.086118579,0.744114695,-0.407859871,-0.096853469,0.829454053,-0.499268856,-0.073513026,0.685979977,-0.526450442,-0.075544933,0.602934686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
